domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,hard_risk,source_gap,quality_flags,canonical_url
786cosmetics.com,786 Cosmetics,ext_0d844fc65fd3348e35a09c80,Abu Dhabi - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,419,true,true,true,false,false,,https://786cosmetics.com/products/abu-dhabi-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_151aebc5b6246b8d2d9a877b,Agra - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,498,true,true,true,false,false,,https://786cosmetics.com/products/agra-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_2fc7cc1ac3370464b4b923d3,Bahrain - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,540,true,true,true,false,false,,https://786cosmetics.com/products/bahrain-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_33fa1a749060cefdd3e0dc2b,Beirut - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,903,true,true,true,false,false,,https://786cosmetics.com/products/beirut-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_36b452da1e0dde5c19bd2ed0,Casablanca - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,449,true,true,true,false,false,,https://786cosmetics.com/products/casablanca-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_8573685e1cc94840934c764d,Goychay - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,432,true,true,true,false,false,,https://786cosmetics.com/products/goychay-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_41aeeb470016979417c8637d,Kabul - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,481,true,true,true,false,false,,https://786cosmetics.com/products/kabul-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_69dcb156e335cb9756e016b2,Kashmir - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,13.99,USD,in_stock,386,true,true,true,false,false,,https://786cosmetics.com/products/kashmir-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_2c4793f5f96ec2d4680fd55b,Zhangye - Breathable Nail Polish,beauty_formula,serving_index_sync,true,false,true,true,9.79,USD,in_stock,439,true,true,true,false,false,,https://786cosmetics.com/products/zhangye-breathable-nail-polish
activedrip.com,Active Drip,ext_eea9ddc94177c421b32a1ed5,C + E DRIP,beauty_formula,serving_index_sync,true,false,true,true,59.9,USD,in_stock,114,true,true,true,false,false,,https://activedrip.com/products/vitamin-c-e-serum
activedrip.com,Active Drip,ext_441b5d142009ef8ae5082262,HYDRATE DRIP,beauty_formula,serving_index_sync,true,false,true,true,52.9,USD,in_stock,162,true,true,true,false,false,,https://activedrip.com/products/hyaluronic-acid-b12-b5-serum
activedrip.com,Active Drip,ext_edef015844086dd8eaa792b2,RETINOL DRIP,beauty_formula,serving_index_sync,true,false,true,true,59.9,USD,in_stock,154,true,true,true,false,false,,https://activedrip.com/products/retinol-anti-wrinkle-serum
