domain,brand,external_product_id,title,catalog_product_key,content_key,serving_eligible,blocker_code,identity_ready,product_intel_reviewed,product_intel_high_quality
786cosmetics.com,786 Cosmetics,ext_0d844fc65fd3348e35a09c80,Abu Dhabi - Breathable Nail Polish,prod::external_seed::external_seed::ext_0d844fc65fd3348e35a09c80,ck_9265bf86ae4e6575e31a9e819211c3a1,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_151aebc5b6246b8d2d9a877b,Agra - Breathable Nail Polish,prod::external_seed::external_seed::ext_151aebc5b6246b8d2d9a877b,ck_734aab4f4544edb40534872674180b43,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_2c4793f5f96ec2d4680fd55b,Zhangye - Breathable Nail Polish,prod::external_seed::external_seed::ext_2c4793f5f96ec2d4680fd55b,ck_785e938aa5e2060d8e90a7300fef53db,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_2fc7cc1ac3370464b4b923d3,Bahrain - Breathable Nail Polish,prod::external_seed::external_seed::ext_2fc7cc1ac3370464b4b923d3,ck_b8d7e7bca9ad1d296ebbc1938ad4c544,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_33fa1a749060cefdd3e0dc2b,Beirut - Breathable Nail Polish,prod::external_seed::external_seed::ext_33fa1a749060cefdd3e0dc2b,ck_e0f3cb49b43490170aec7b69aed6a534,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_36b452da1e0dde5c19bd2ed0,Casablanca - Breathable Nail Polish,prod::external_seed::external_seed::ext_36b452da1e0dde5c19bd2ed0,ck_20fc83f1c2b52303040519accb5cf34c,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_41aeeb470016979417c8637d,Kabul - Breathable Nail Polish,prod::external_seed::external_seed::ext_41aeeb470016979417c8637d,ck_cb72a897ca2d3dd930e957deb54da47d,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_55b774d3c57906a77a7167f0,Sorrento - Breathable Nail Polish,prod::external_seed::external_seed::ext_55b774d3c57906a77a7167f0,ck_2185229a1f355cd00193378e573aeec7,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_69dcb156e335cb9756e016b2,Kashmir - Breathable Nail Polish,prod::external_seed::external_seed::ext_69dcb156e335cb9756e016b2,ck_9863de8de56e22a8aeb1ee80b9c2351a,false,low_quality,true,true,true
786cosmetics.com,786 Cosmetics,ext_8573685e1cc94840934c764d,Goychay - Breathable Nail Polish,prod::external_seed::external_seed::ext_8573685e1cc94840934c764d,ck_d1fd0fda02bdf0f83fa28b38ba8d1fde,false,low_quality,true,true,true
